iter	RMSE
0	5.771432606
1	5.674014535
2	5.590876198
3	5.51805573
4	5.448405956
5	5.388610143
6	5.335836186
7	5.267266173
8	5.182564039
9	5.106819832
10	5.049025685
11	4.980625514
12	4.916102885
13	4.840191188
14	4.766863958
15	4.696632786
16	4.65447167
17	4.590832305
18	4.526548259
19	4.462895684
20	4.40209933
21	4.348493014
22	4.27662855
23	4.23390756
24	4.177275435
25	4.120142254
26	4.066385206
27	4.023437869
28	3.97099688
29	3.919127418
30	3.878355943
31	3.819864378
32	3.773618253
33	3.715195938
34	3.669054478
35	3.614043286
36	3.555893662
37	3.510424118
38	3.47780831
39	3.434674217
40	3.390021857
41	3.350016012
42	3.315271045
43	3.266972584
44	3.224374883
45	3.184139318
46	3.146966457
47	3.110861975
48	3.073263614
49	3.035954829
50	3.005323364
51	2.958314747
52	2.915195909
53	2.882614885
54	2.852309845
55	2.816785794
56	2.780781564
57	2.753925502
58	2.728360116
59	2.701379862
60	2.671296559
61	2.644002634
62	2.615947547
63	2.58961866
64	2.55886769
65	2.528728969
66	2.497231241
67	2.469728323
68	2.442207187
69	2.410532546
70	2.381314679
71	2.349733033
72	2.320476615
73	2.281857894
74	2.257165887
75	2.236585695
76	2.203139019
77	2.176272803
78	2.141745514
79	2.113460279
80	2.086598095
81	2.04893459
82	2.021257673
83	1.994759654
84	1.966393677
85	1.936091465
86	1.911884744
87	1.889058108
88	1.864705269
89	1.836219628
90	1.800113629
91	1.777266242
92	1.756583983
93	1.727280099
94	1.704089949
95	1.675102309
96	1.651153586
97	1.630535013
98	1.611681547
99	1.590278851
100	1.566311853
101	1.545412998
102	1.524867023
103	1.505095497
104	1.482379283
105	1.461420855
106	1.447378104
107	1.423410974
108	1.40331884
109	1.383641723
110	1.364104832
111	1.346454649
112	1.324038469
113	1.30727056
114	1.286067255
115	1.267507219
116	1.244327523
117	1.224560498
118	1.208654179
119	1.192215494
120	1.173357373
121	1.158090798
122	1.141412109
123	1.124036784
124	1.104970997
125	1.088348107
126	1.073138817
127	1.056151966
128	1.038258394
129	1.01908602
130	1.005623769
131	0.9915104976
132	0.9762745789
133	0.9613877683
134	0.9447532818
135	0.9299011804
136	0.9167954306
137	0.9032733396
138	0.8897011205
139	0.8759007593
140	0.8609415093
