iter	Passed	Remaining
0	141	141245
1	143	71684
2	145	48480
3	148	36884
4	150	29924
5	153	25385
6	155	22088
7	157	19583
8	160	17637
9	162	16075
10	164	14791
11	166	13736
12	169	12885
13	171	12109
14	174	11431
15	176	10838
16	177	10282
17	179	9808
18	181	9375
19	183	8985
20	186	8677
21	188	8365
22	190	8076
23	192	7811
24	193	7562
25	195	7332
26	197	7120
27	199	6939
28	202	6765
29	203	6593
30	205	6432
31	207	6284
32	210	6160
33	213	6054
34	215	5953
35	218	5849
36	220	5742
37	223	5646
38	225	5547
39	227	5453
40	229	5361
41	231	5275
42	233	5202
43	235	5123
44	237	5044
45	239	4967
46	241	4896
47	243	4826
48	245	4760
49	247	4695
50	249	4642
51	251	4583
52	253	4525
53	255	4468
54	256	4414
55	258	4361
56	260	4311
57	262	4270
58	266	4244
59	268	4207
60	271	4179
61	274	4150
62	277	4122
63	279	4089
64	282	4064
65	285	4041
66	288	4010
67	290	3982
68	292	3951
69	295	3927
70	299	3913
71	301	3888
72	305	3875
73	308	3855
74	311	3836
75	316	3842
76	319	3824
77	321	3800
78	323	3772
79	325	3745
80	327	3721
81	331	3707
82	333	3687
83	337	3679
84	340	3670
85	343	3648
86	350	3674
87	352	3650
88	354	3626
89	356	3603
90	358	3579
91	361	3567
92	363	3549
93	366	3533
94	369	3520
95	371	3500
96	373	3480
97	376	3465
98	379	3451
99	381	3436
100	383	3417
101	385	3397
102	387	3378
103	390	3360
104	392	3347
105	395	3335
106	398	3321
107	400	3304
108	402	3287
109	404	3270
110	406	3253
111	409	3247
112	412	3239
113	415	3232
114	418	3220
115	420	3207
116	423	3194
117	427	3191
118	429	3178
119	431	3167
120	434	3155
121	436	3140
122	438	3127
123	441	3118
124	444	3108
125	446	3097
126	448	3082
127	450	3068
128	452	3056
129	454	3042
130	457	3033
131	460	3025
132	462	3012
133	464	2999
134	466	2987
135	468	2974
136	470	2964
137	473	2956
138	475	2946
139	477	2936
140	480	2926
141	482	2914
142	484	2903
143	486	2890
144	489	2883
145	491	2876
146	493	2866
147	495	2855
148	497	2843
149	499	2833
150	501	2821
151	504	2812
152	507	2809
153	509	2799
154	511	2788
155	513	2779
156	515	2768
157	517	2758
158	519	2748
159	522	2744
160	525	2736
161	527	2730
162	530	2726
163	533	2717
164	535	2707
165	538	2704
166	541	2700
167	543	2693
168	545	2683
169	547	2675
170	549	2665
171	552	2657
172	555	2654
173	557	2646
174	559	2637
175	561	2629
176	563	2619
177	565	2611
178	567	2602
179	570	2600
180	573	2594
181	575	2586
182	577	2577
183	579	2569
184	581	2561
185	583	2552
186	586	2550
187	589	2544
188	591	2537
189	593	2529
190	595	2521
191	597	2514
192	599	2506
193	603	2505
194	605	2499
195	607	2492
196	609	2484
197	611	2477
198	613	2469
199	615	2461
200	618	2459
201	621	2454
202	623	2446
203	625	2439
204	627	2432
205	629	2425
206	631	2419
207	634	2416
208	637	2412
209	639	2405
210	641	2398
211	643	2391
212	645	2383
213	647	2377
214	650	2375
215	653	2370
216	655	2364
217	657	2358
218	659	2351
219	661	2344
220	663	2338
221	666	2335
222	668	2329
223	670	2322
224	672	2316
225	674	2309
226	676	2304
227	678	2298
228	682	2297
229	685	2294
230	687	2288
231	689	2282
232	691	2277
233	693	2270
234	695	2264
235	699	2263
236	701	2258
237	703	2252
238	705	2246
239	707	2240
240	709	2234
241	711	2228
242	714	2226
243	717	2222
244	719	2217
245	722	2213
246	724	2209
247	726	2203
248	729	2201
249	732	2197
250	734	2191
251	736	2186
252	738	2180
253	740	2174
254	742	2168
255	744	2164
256	747	2160
257	749	2155
258	751	2149
259	753	2144
260	755	2138
261	757	2132
262	758	2126
263	761	2123
264	764	2119
265	765	2113
266	767	2107
267	769	2102
268	771	2096
269	773	2090
270	775	2085
271	777	2080
272	779	2075
273	781	2070
274	783	2064
275	785	2059
276	786	2053
277	788	2048
278	790	2042
279	792	2038
280	794	2034
281	796	2028
282	798	2023
283	800	2017
284	810	2032
285	811	2026
286	813	2021
287	815	2015
288	817	2010
289	819	2005
290	821	2000
291	822	1995
292	825	1991
293	827	1986
294	829	1981
295	830	1976
296	832	1971
297	834	1966
298	836	1960
299	838	1955
300	840	1950
301	842	1947
302	844	1941
303	845	1936
304	847	1931
305	849	1926
306	851	1921
307	853	1916
308	855	1913
309	857	1909
310	859	1904
311	861	1899
312	863	1895
313	865	1890
314	867	1885
315	868	1880
316	870	1876
317	873	1872
318	875	1868
319	876	1863
320	878	1858
321	880	1854
322	882	1849
323	884	1845
324	886	1840
325	888	1836
326	890	1832
327	892	1828
328	894	1823
329	895	1819
330	897	1814
331	899	1810
332	901	1805
333	903	1801
334	905	1797
335	907	1793
336	909	1788
337	911	1784
338	912	1780
339	915	1776
340	917	1772
341	919	1768
342	921	1764
343	923	1760
344	925	1756
345	927	1752
346	929	1748
347	931	1744
348	932	1739
349	934	1735
350	937	1732
351	939	1728
352	941	1724
353	943	1721
354	945	1717
355	946	1712
356	948	1708
357	950	1704
358	953	1703
359	961	1709
360	967	1712
361	972	1714
362	976	1713
363	979	1711
364	982	1709
365	987	1711
366	999	1724
367	1012	1738
368	1023	1749
369	1031	1755
370	1033	1752
371	1037	1751
372	1039	1748
373	1048	1755
374	1051	1752
375	1053	1748
376	1055	1744
377	1057	1740
378	1059	1735
379	1061	1731
380	1062	1726
381	1065	1723
382	1068	1721
383	1070	1716
384	1071	1712
385	1073	1708
386	1075	1703
387	1077	1699
388	1079	1695
389	1081	1691
390	1083	1687
391	1085	1684
392	1087	1680
393	1089	1675
394	1091	1671
395	1093	1667
396	1095	1663
397	1097	1660
398	1100	1657
399	1102	1654
400	1105	1651
401	1107	1647
402	1110	1645
403	1112	1641
404	1115	1638
405	1117	1634
406	1119	1630
407	1120	1626
408	1122	1622
409	1124	1618
410	1126	1614
411	1128	1610
412	1130	1607
413	1133	1603
414	1134	1599
415	1136	1595
416	1138	1591
417	1140	1587
418	1142	1583
419	1144	1579
420	1145	1575
421	1148	1572
422	1150	1568
423	1151	1564
424	1153	1561
425	1155	1557
426	1157	1553
427	1159	1549
428	1161	1545
429	1163	1542
430	1165	1538
431	1167	1534
432	1169	1531
433	1171	1528
434	1173	1524
435	1175	1520
436	1177	1516
437	1179	1513
438	1181	1509
439	1183	1505
440	1185	1502
441	1186	1498
442	1188	1494
443	1190	1490
444	1192	1487
445	1194	1483
446	1196	1480
447	1198	1476
448	1200	1473
449	1202	1469
450	1204	1465
451	1205	1461
452	1207	1458
453	1209	1454
454	1212	1452
455	1214	1448
456	1215	1444
457	1217	1441
458	1219	1437
459	1221	1433
460	1223	1430
461	1224	1426
462	1227	1423
463	1229	1420
464	1231	1416
465	1233	1413
466	1235	1410
467	1237	1407
468	1239	1403
469	1241	1400
470	1244	1398
471	1247	1395
472	1249	1392
473	1251	1389
474	1253	1385
475	1255	1382
476	1257	1378
477	1260	1376
478	1262	1373
479	1264	1370
480	1266	1366
481	1268	1363
482	1270	1360
483	1272	1356
484	1275	1354
485	1278	1351
486	1280	1348
487	1282	1345
488	1283	1341
489	1286	1338
490	1288	1335
491	1290	1332
492	1292	1329
493	1295	1326
494	1297	1323
495	1299	1320
496	1301	1317
497	1303	1313
498	1305	1310
499	1308	1308
500	1310	1305
501	1312	1302
502	1314	1298
503	1316	1295
504	1318	1292
505	1320	1289
506	1322	1285
507	1330	1288
508	1332	1284
509	1333	1281
510	1335	1278
511	1337	1275
512	1340	1273
513	1343	1270
514	1345	1267
515	1348	1264
516	1350	1261
517	1353	1259
518	1359	1259
519	1362	1257
520	1367	1256
521	1371	1255
522	1374	1254
523	1377	1251
524	1379	1248
525	1381	1245
526	1383	1242
527	1385	1238
528	1389	1236
529	1391	1234
530	1393	1231
531	1396	1228
532	1398	1225
533	1401	1222
534	1404	1220
535	1407	1218
536	1410	1215
537	1412	1212
538	1414	1209
539	1416	1206
540	1418	1203
541	1421	1201
542	1424	1198
543	1426	1195
544	1428	1192
545	1430	1189
546	1432	1186
547	1434	1183
548	1437	1181
549	1440	1178
550	1442	1175
551	1444	1172
552	1446	1169
553	1448	1166
554	1450	1163
555	1453	1161
556	1456	1158
557	1458	1155
558	1460	1152
559	1462	1148
560	1464	1145
561	1466	1142
562	1469	1140
563	1472	1138
564	1474	1135
565	1476	1131
566	1478	1128
567	1480	1125
568	1482	1122
569	1494	1127
570	1497	1124
571	1499	1122
572	1502	1119
573	1504	1116
574	1506	1113
575	1509	1110
576	1511	1108
577	1513	1105
578	1516	1102
579	1519	1100
580	1521	1097
581	1523	1094
582	1525	1091
583	1527	1088
584	1529	1085
585	1532	1082
586	1536	1080
587	1540	1079
588	1542	1076
589	1545	1073
590	1548	1071
591	1552	1070
592	1556	1068
593	1559	1065
594	1562	1063
595	1565	1061
596	1568	1059
597	1571	1056
598	1574	1054
599	1577	1051
600	1580	1048
601	1582	1046
602	1585	1043
603	1589	1042
604	1592	1039
605	1596	1038
606	1600	1035
607	1603	1033
608	1605	1030
609	1607	1027
610	1609	1024
611	1612	1022
612	1615	1019
613	1617	1016
614	1619	1013
615	1621	1011
616	1624	1008
617	1626	1005
618	1629	1003
619	1632	1000
620	1634	997
621	1636	994
622	1638	991
623	1641	988
624	1643	986
625	1646	983
626	1649	981
627	1651	978
628	1653	975
629	1655	972
630	1658	969
631	1661	967
632	1664	965
633	1669	963
634	1672	961
635	1675	958
636	1678	956
637	1680	953
638	1682	950
639	1684	947
640	1685	944
641	1687	941
642	1689	938
643	1691	935
644	1694	932
645	1697	930
646	1699	927
647	1700	923
648	1702	920
649	1704	917
650	1706	914
651	1708	912
652	1710	909
653	1712	906
654	1714	903
655	1716	900
656	1718	897
657	1720	893
658	1721	891
659	1723	888
660	1726	885
661	1728	882
662	1729	879
663	1731	876
664	1733	873
665	1735	870
666	1737	867
667	1739	864
668	1742	862
669	1745	859
670	1748	857
671	1750	854
672	1752	851
673	1754	848
674	1757	845
675	1759	843
676	1761	840
677	1764	837
678	1766	835
679	1768	832
680	1770	829
681	1773	826
682	1775	824
683	1778	821
684	1780	818
685	1782	816
686	1784	813
687	1787	810
688	1790	808
689	1793	805
690	1795	803
691	1797	800
692	1799	797
693	1801	794
694	1803	791
695	1806	789
696	1809	786
697	1811	783
698	1813	780
699	1815	778
700	1817	775
701	1819	772
702	1822	769
703	1824	767
704	1826	764
705	1828	761
706	1830	758
707	1832	755
708	1833	752
